reference_area,sex,year,total,0,1-14,15-24,15-29,<25,25-34,30-34,35-39,40-48,40+,49+,not_classiefied,,,
Czechia,Total,2018,5293.8,427.7,108.7,,394.3,,,532.9,438.5,2763.8,,624.0,3.7,,,
Czechia,Male,2018,2946.5,197.9,42.6,,165.1,,,255.7,249.7,1539.8,,492.8,2.9,,,
Czechia,Female,2018,2347.3,229.8,66.1,,229.2,,,277.2,188.8,1224.1,,131.2,0.9,,,
Czechia,Total,2019,5303.1,442.2,120.6,,359.3,,,552.7,460.3,2747.3,,616.6,4.0,,,
Czechia,Male,2019,2950.7,201.7,47.5,,148.2,,,272.9,252.9,1539.8,,485.2,2.7,,,
Czechia,Female,2019,2352.4,240.6,73.1,,211.2,,,279.8,207.4,1207.5,,131.4,1.4,,,
Czechia,Total,2020,5235.1,602.0,133.8,,406.9,,,605.2,428.6,2583.0,,472.6,3.2,,,
Czechia,Male,2020,2928.4,264.8,56.3,,186.7,,,319.9,243.4,1488.2,,367.0,2.2,,,
Czechia,Female,2020,2306.7,337.2,77.5,,220.2,,,285.3,185.2,1094.8,,105.6,1.0,,,
Czechia,Total,2021,5219.0,457.0,107.1,,395.4,,,509.2,432.1,2861.4,,450.1,6.8,,,
Czechia,Male,2021,2919.1,201.4,43.1,,169.3,,,262.2,237.4,1649.0,,352.5,4.2,,,
Czechia,Female,2021,2299.8,255.6,64.0,,226.1,,,247.0,194.7,1212.3,,97.6,2.6,,,
Côte d'Ivoire,Total,2012,4642.2,333.5,127.8,,317.7,,,191.1,244.1,1138.1,,2289.9,,,,
Côte d'Ivoire,Male,2012,2482.9,182.3,64.7,,129.1,,,88.0,116.3,598.0,,1304.7,,,,
Côte d'Ivoire,Female,2012,2159.3,151.3,63.1,,188.6,,,103.1,127.8,540.1,,985.3,,,,
Côte d'Ivoire,Total,2013,9005.8,549.8,511.4,,1066.3,,,644.0,718.3,2271.6,,3244.3,,,,
Côte d'Ivoire,Male,2013,4964.1,297.5,231.9,,442.4,,,316.5,374.5,1370.4,,1930.9,,,,
Côte d'Ivoire,Female,2013,4041.7,252.2,279.5,,623.9,,,327.5,343.8,901.3,,1313.4,,,,
Côte d'Ivoire,Total,2016,9476.3,1097.6,660.2,,886.1,,,505.5,597.2,2347.8,,3382.0,,,,
Côte d'Ivoire,Male,2016,5405.4,375.0,297.8,,389.2,,,251.6,308.2,1521.0,,2262.6,,,,
Côte d'Ivoire,Female,2016,4070.9,722.6,362.4,,496.9,,,253.9,288.9,826.8,,1119.4,,,,
Côte d'Ivoire,Total,2017,7704.3,29.4,598.1,,782.3,,,361.6,564.9,2246.1,,3121.9,,,,
Côte d'Ivoire,Male,2017,4598.9,13.0,271.9,,336.9,,,184.8,280.6,1469.0,,2042.6,,,,
Côte d'Ivoire,Female,2017,3105.4,16.4,326.2,,445.3,,,176.8,284.2,777.1,,1079.3,,,,
Côte d'Ivoire,Total,2019,9142.1,502.0,845.7,,894.1,,,503.4,739.3,2855.5,,2801.6,,,,
Côte d'Ivoire,Male,2019,5263.5,186.0,419.2,,426.0,,,241.9,365.9,1801.3,,1823.0,,,,
Côte d'Ivoire,Female,2019,3878.6,316.0,426.5,,468.1,,,261.5,373.3,1054.2,,978.6,,,,
Denmark,Total,2011,2659.5,382.1,208.1,,292.7,,,241.9,854.2,441.2,,239.2,,,,
Denmark,Male,2011,1402.1,165.2,91.6,,110.5,,,67.9,496.4,282.4,,188.2,,,,
Denmark,Female,2011,1257.4,216.9,116.5,,182.3,,,174.0,357.8,158.8,,51.1,,,,
Denmark,Total,2012,2644.8,371.1,213.8,,302.6,,,245.3,846.6,433.0,,232.4,,,,
Denmark,Male,2012,1391.8,165.3,97.9,,120.5,,,71.5,480.9,273.4,,182.2,,,,
Denmark,Female,2012,1253.1,205.7,115.9,,182.0,,,173.8,365.7,159.6,,50.2,,,,
Denmark,Total,2013,2636.3,365.9,213.7,,312.7,,,247.5,818.5,442.9,,235.2,,,,
Denmark,Male,2013,1385.6,162.4,93.8,,126.7,,,74.4,470.6,276.7,,181.0,,,,
Denmark,Female,2013,1250.6,203.5,119.9,,186.0,,,173.1,347.9,166.1,,54.2,,,,
Denmark,Total,2014,2663.9,360.9,236.2,,302.5,,,241.7,876.8,419.2,,226.7,,,,
Denmark,Male,2014,1409.5,163.7,100.9,,123.8,,,77.1,505.2,261.7,,177.1,,,,
Denmark,Female,2014,1254.4,197.2,135.2,,178.7,,,164.7,371.6,157.4,,49.6,,,,
Denmark,Total,2015,2709.0,364.4,243.4,,300.6,,,241.5,906.3,421.5,,231.4,,,,
Denmark,Male,2015,1443.3,164.9,104.5,,127.9,,,74.9,527.0,267.1,,176.9,,,,
Denmark,Female,2015,1265.8,199.5,138.9,,172.7,,,166.6,379.3,154.3,,54.5,,,,
Denmark,Total,2016,2760.2,367.1,268.6,,335.4,,,250.7,829.2,493.2,,215.7,,,,
Denmark,Male,2016,1462.3,164.5,118.1,,138.7,,,83.6,478.6,310.0,,168.7,,,,
Denmark,Female,2016,1298.0,202.6,150.5,,196.8,,,167.2,350.7,183.1,,47.0,,,,
Denmark,Total,2017,2788.5,382.1,264.6,,324.3,,,242.4,913.7,453.6,,207.9,,,,
Denmark,Male,2017,1475.5,170.0,117.4,,131.3,,,79.4,531.9,283.5,,162.0,,,,
Denmark,Female,2017,1313.0,212.1,147.2,,192.9,,,163.0,381.8,170.1,,45.9,,,,
Denmark,Total,2018,2832.3,345.4,271.2,,329.3,,,260.1,997.3,434.4,,194.6,,,,
Denmark,Male,2018,1502.2,155.4,114.6,,136.1,,,86.1,585.9,271.5,,152.7,,,,
Denmark,Female,2018,1330.0,189.9,156.6,,193.2,,,174.0,411.3,162.9,,42.0,,,,
Denmark,Total,2019,2877.7,368.1,283.7,,349.8,,,273.3,981.2,416.8,,190.8,13.9,,,
Denmark,Male,2019,1528.9,165.7,122.6,,150.7,,,94.6,577.4,262.3,,148.1,7.5,,,
Denmark,Female,2019,1348.8,202.5,161.1,,199.1,,,178.7,403.8,154.6,,42.7,6.4,,,
Denmark,Total,2020,2852.4,416.6,266.1,,329.9,,,241.6,997.1,421.7,,179.4,,,,
Denmark,Male,2020,1514.1,186.8,117.3,,142.4,,,85.1,581.0,264.1,,137.5,,,,
Denmark,Female,2020,1338.2,229.8,148.9,,187.6,,,156.5,416.1,157.5,,41.9,,,,
Denmark,Total,2021,2907.3,382.4,287.0,,329.5,,,253.5,904.0,497.7,,208.2,45.1,,,
Denmark,Male,2021,1543.2,164.1,128.4,,142.0,,,91.5,528.5,307.6,,156.9,24.2,,,
Denmark,Female,2021,1364.1,218.3,158.6,,187.5,,,162.0,375.5,190.1,,51.2,20.9,,,
Dominican Republic,Total,2011,3759.8,,88.6,,504.2,,,260.8,207.2,1894.6,,743.7,60.6,,,
Dominican Republic,Male,2011,2357.3,,31.7,,244.5,,,157.2,123.9,1235.8,,538.1,26.0,,,
Dominican Republic,Female,2011,1402.5,,56.9,,259.7,,,103.6,83.3,658.8,,205.6,34.6,,,
Dominican Republic,Total,2012,3840.9,,84.2,,503.3,,,287.1,200.2,1937.0,,766.7,62.3,,,
Dominican Republic,Male,2012,2391.8,,38.4,,235.3,,,176.3,130.9,1218.7,,566.0,26.1,,,
Dominican Republic,Female,2012,1449.1,,45.9,,268.0,,,110.8,69.3,718.3,,200.6,36.2,,,
Dominican Republic,Total,2013,3869.7,,78.0,,511.2,,,288.7,186.3,1964.8,,787.4,53.4,,,
Dominican Republic,Male,2013,2421.8,,32.6,,249.8,,,173.5,113.5,1254.2,,578.9,19.3,,,
Dominican Republic,Female,2013,1447.9,,45.4,,261.4,,,115.1,72.8,710.5,,208.5,34.1,,,
Dominican Republic,Total,2014,4015.4,,84.5,,469.9,,,281.4,179.7,2161.1,,777.3,61.5,,,
Dominican Republic,Male,2014,2503.3,,32.1,,231.9,,,174.6,112.7,1367.8,,565.8,18.4,,,
Dominican Republic,Female,2014,1512.1,,52.4,,238.0,,,106.8,67.0,793.2,,211.6,43.1,,,
Dominican Republic,Total,2015,4113.9,85.6,203.8,,601.2,,,271.9,226.1,1607.2,,1118.1,,,,
Dominican Republic,Male,2015,2523.6,35.3,87.6,,331.3,,,167.7,119.0,993.8,,788.9,,,,
Dominican Republic,Female,2015,1590.3,50.3,116.1,,269.8,,,104.2,107.1,613.4,,329.2,,,,
Dominican Republic,Total,2016,4262.4,80.6,188.8,,582.9,,,268.7,218.3,1884.4,,1038.7,,,,
Dominican Republic,Male,2016,2599.4,32.8,81.2,,299.3,,,164.2,118.8,1175.2,,727.9,,,,
Dominican Republic,Female,2016,1663.0,47.8,107.6,,283.6,,,104.5,99.5,709.2,,310.8,,,,
Dominican Republic,Total,2017,4382.7,97.1,175.5,,588.4,,,304.2,243.8,2010.0,,963.6,,,,
Dominican Republic,Male,2017,2642.4,38.8,73.8,,285.4,,,181.5,122.5,1268.7,,671.5,,,,
Dominican Republic,Female,2017,1740.3,58.3,101.7,,303.0,,,122.7,121.3,741.3,,292.0,,,,
Dominican Republic,Total,2018,4539.3,107.9,189.7,,593.6,,,322.9,255.4,2160.6,,909.1,,,,
Dominican Republic,Male,2018,2747.2,44.1,71.6,,289.6,,,191.3,135.5,1369.8,,645.3,,,,
Dominican Republic,Female,2018,1792.1,63.9,118.1,,304.1,,,131.5,119.9,790.9,,263.8,,,,
Dominican Republic,Total,2019,4650.7,112.3,194.1,,634.2,,,349.7,277.3,2206.4,,876.7,,,,
Dominican Republic,Male,2019,2763.8,41.1,67.4,,303.6,,,209.2,151.3,1381.4,,609.8,,,,
Dominican Republic,Female,2019,1886.9,71.3,126.6,,330.6,,,140.5,126.0,825.0,,266.9,,,,
Dominican Republic,Total,2020,4390.7,541.6,218.3,,612.7,,,304.9,279.5,1786.2,,647.5,,,,
Dominican Republic,Male,2020,2636.8,261.6,75.5,,317.5,,,185.7,165.1,1178.7,,452.7,,,,
Dominican Republic,Female,2020,1753.9,280.0,142.9,,295.2,,,119.2,114.3,607.5,,194.7,,,,
Dominican Republic,Total,2021,4556.6,135.4,181.7,,683.6,,,342.4,276.3,2109.8,,827.4,,,,
Dominican Republic,Male,2021,2724.3,53.7,67.0,,328.2,,,207.1,153.1,1353.5,,561.6,,,,
Dominican Republic,Female,2021,1832.4,81.7,114.7,,355.4,,,135.3,123.2,756.3,,265.8,,,,
Ecuador,Total,2011,6264.3,,302.3,,728.5,,,338.1,183.0,3224.5,,1487.8,,,,
Ecuador,Male,2011,3804.3,,112.9,,321.8,,,183.6,107.2,2027.4,,1051.5,,,,
Ecuador,Female,2011,2460.0,,189.5,,406.7,,,154.6,75.8,1197.1,,436.3,,,,
Ecuador,Total,2012,6506.3,,281.6,,755.9,,,367.4,183.3,3656.4,,1261.8,,,,
Ecuador,Male,2012,3929.7,,106.8,,336.1,,,194.7,105.8,2296.4,,889.9,,,,
Ecuador,Female,2012,2576.6,,174.8,,419.7,,,172.7,77.5,1360.0,,371.9,,,,
Ecuador,Total,2013,6695.0,62.3,323.1,,853.7,,,369.8,222.6,3512.7,,1350.7,,,,
Ecuador,Male,2013,4043.4,34.4,113.8,,386.9,,,194.3,123.4,2220.1,,970.5,,,,
Ecuador,Female,2013,2651.6,27.9,209.3,,466.8,,,175.5,99.2,1292.6,,380.2,,,,
Ecuador,Total,2014,6784.4,68.3,338.2,,887.6,,,388.9,183.7,3609.5,,1308.2,,,,
Ecuador,Male,2014,4124.4,41.4,124.8,,399.1,,,210.4,101.9,2295.7,,951.0,,,,
Ecuador,Female,2014,2660.0,26.9,213.3,,488.5,,,178.4,81.7,1313.9,,357.2,,,,
Ecuador,Total,2015,7151.0,89.1,467.5,,994.5,,,410.8,223.1,3621.8,,1344.2,,,,
Ecuador,Male,2015,4250.6,49.5,161.6,,438.4,,,212.9,119.9,2301.0,,967.2,,,,
Ecuador,Female,2015,2900.4,39.6,305.9,,556.1,,,197.9,103.2,1320.8,,377.0,,,,
Ecuador,Total,2016,7482.1,133.2,698.4,,1191.7,,,431.2,247.9,3384.3,,1395.4,,,,
Ecuador,Male,2016,4350.5,70.1,238.3,,525.5,,,229.9,138.6,2142.0,,1006.2,,,,
Ecuador,Female,2016,3131.6,63.1,460.1,,666.2,,,201.3,109.3,1242.4,,389.2,,,,
Ecuador,Total,2017,7766.3,127.5,754.2,,1303.4,,,470.8,253.4,3401.5,,1455.6,,,,
Ecuador,Male,2017,4495.0,68.6,253.1,,584.3,,,257.1,137.3,2155.4,,1039.2,,,,
Ecuador,Female,2017,3271.3,58.9,501.1,,719.1,,,213.7,116.0,1246.1,,416.4,,,,
Ecuador,Total,2018,7778.9,107.6,652.7,,1239.1,,,519.5,247.7,3600.2,,1412.1,,,,
Ecuador,Male,2018,4544.3,56.2,224.6,,566.6,,,277.3,141.3,2288.4,,989.9,,,,
Ecuador,Female,2018,3234.6,51.4,428.2,,672.5,,,242.2,106.3,1311.8,,422.1,,,,
Ecuador,Total,2019,7853.2,126.5,672.2,,1424.3,,,570.1,237.9,3494.1,,1328.1,,,,
Ecuador,Male,2019,4574.1,68.7,243.9,,676.4,,,319.6,132.8,2204.8,,927.9,,,,
Ecuador,Female,2019,3279.0,57.9,428.3,,747.9,,,250.4,105.1,1289.2,,400.2,,,,
Ecuador,Total,2020,7070.6,436.2,801.4,,1504.7,,,614.7,200.9,2796.7,,716.1,,,,
Ecuador,Male,2020,4197.1,250.7,353.5,,808.0,,,370.0,118.6,1805.8,,490.5,,,,
Ecuador,Female,2020,2873.6,185.5,447.8,,696.7,,,244.7,82.3,990.9,,225.7,,,,
Ecuador,Total,2021,7960.8,140.4,975.1,,1672.8,,,579.3,234.3,3226.9,,1132.0,,,,
Ecuador,Male,2021,4672.0,74.0,360.0,,883.8,,,336.4,129.9,2104.2,,783.8,,,,
Ecuador,Female,2021,3288.8,66.4,615.1,,789.0,,,242.9,104.4,1122.7,,348.2,,,,
Egypt,Total,2011,23345.8,,505.5,,1228.4,,,433.4,3749.8,9797.5,,7631.2,,,,
Egypt,Male,2011,18718.7,,116.6,,411.8,,,314.0,2593.5,8138.5,,7144.3,,,,
Egypt,Female,2011,4627.1,,388.9,,816.6,,,119.4,1156.3,1659.0,,486.8,,,,
Egypt,Total,2012,23564.4,,428.2,,1019.1,,,432.8,3950.0,10013.3,,7721.0,,,,
Egypt,Male,2012,18902.7,,52.7,,369.4,,,334.4,2630.1,8247.8,,7268.4,,,,
Egypt,Female,2012,4661.7,,375.5,,649.7,,,98.4,1320.0,1765.5,,452.6,,,,
Egypt,Total,2013,23975.1,,204.6,,1217.7,,,332.0,4113.1,10476.2,,7631.4,,,,
Egypt,Male,2013,19083.4,,41.1,,404.3,,,254.1,2651.2,8537.0,,7195.7,,,,
Egypt,Female,2013,4891.8,,163.5,,813.4,,,78.0,1461.9,1939.2,,435.8,,,,
Egypt,Total,2015,24778.8,18.2,196.9,,818.8,,,599.1,4563.6,10318.5,,8263.7,,,,
Egypt,Male,2015,19693.7,15.4,147.0,,516.1,,,455.0,2504.9,8308.4,,7746.9,,,,
Egypt,Female,2015,5085.0,2.8,49.8,,302.7,,,144.2,2058.6,2010.1,,516.8,,,,
Egypt,Total,2017,26006.0,39.0,661.0,,1653.0,,,1221.0,4338.0,10063.0,,8033.0,,,,
Egypt,Male,2017,20620.0,29.0,472.0,,1007.0,,,920.0,2926.0,8005.0,,7260.0,,,,
Egypt,Female,2017,5386.0,9.0,189.0,,646.0,,,300.0,1411.0,2058.0,,773.0,,,,
Egypt,Total,2020,26239.0,893.3,851.9,,3363.7,,,1703.1,3815.4,8521.1,,7090.5,,,,
Egypt,Male,2020,22286.2,683.6,625.2,,2720.2,,,1410.0,3025.5,7214.8,,6606.9,,,,
Egypt,Female,2020,3952.7,209.6,226.6,,643.5,,,293.0,789.9,1306.4,,483.7,,,,
Egypt,Total,2021,27241.0,376.2,536.3,,2844.6,,,1569.5,3761.9,10054.4,,8098.2,,,,
Egypt,Male,2021,22959.9,273.8,343.7,,2090.3,,,1237.5,2937.1,8469.3,,7608.2,,,,
Egypt,Female,2021,4281.1,102.4,192.6,,754.2,,,332.1,824.8,1585.1,,490.0,,,,
El Salvador,Total,2011,2466.2,,151.4,,293.0,,,114.9,142.4,960.1,,745.2,59.0,,,
El Salvador,Male,2011,1440.6,,60.0,,149.0,,,71.7,96.5,622.8,,409.4,31.1,,,
El Salvador,Female,2011,1025.7,,91.4,,144.1,,,43.2,45.9,337.3,,335.8,27.9,,,
El Salvador,Total,2012,2559.3,0.3,168.3,,322.3,,,140.1,158.8,971.5,,741.1,56.9,,,
El Salvador,Male,2012,1490.8,,70.3,,163.1,,,89.9,109.8,624.6,,403.8,29.1,,,
El Salvador,Female,2012,1068.5,,98.0,,159.2,,,50.2,49.0,346.9,,337.3,27.8,,,
El Salvador,Total,2013,2629.5,0.8,179.2,,336.6,,,125.8,141.8,946.6,,837.6,61.1,,,
El Salvador,Male,2013,1511.1,0.3,67.3,,166.1,,,79.6,92.2,607.9,,466.6,31.2,,,
El Salvador,Female,2013,1118.4,0.5,111.9,,170.5,,,46.3,49.6,338.6,,371.0,29.9,,,
El Salvador,Total,2014,2644.1,0.3,172.2,,322.5,,,112.4,148.8,1013.6,,827.7,46.5,,,
El Salvador,Male,2014,1521.4,0.2,66.1,,162.5,,,70.0,100.8,649.1,,450.2,22.4,,,
El Salvador,Female,2014,1122.7,,106.2,,160.0,,,42.4,48.0,364.5,,377.5,24.1,,,
El Salvador,Total,2015,2667.0,0.4,163.6,,306.3,,,122.2,142.8,1065.7,,818.4,47.5,,,
El Salvador,Male,2015,1560.3,,66.4,,164.1,,,79.2,94.8,681.7,,450.6,23.3,,,
El Salvador,Female,2015,1106.8,,97.2,,142.2,,,43.0,48.1,384.0,,367.9,24.2,,,
El Salvador,Total,2016,2727.0,0.4,159.9,,328.7,,,135.4,156.0,1045.7,,849.4,51.4,,,
El Salvador,Male,2016,1579.4,,64.0,,165.6,,,87.0,101.9,672.2,,465.4,23.3,,,
El Salvador,Female,2016,1147.6,,96.0,,163.2,,,48.4,54.2,373.5,,384.0,28.1,,,
El Salvador,Total,2017,2752.1,,160.4,,335.7,,,137.3,151.7,1061.1,,853.6,52.2,,,
El Salvador,Male,2017,1610.3,,66.2,,168.7,,,92.9,100.2,678.1,,478.1,26.2,,,
El Salvador,Female,2017,1141.8,,94.2,,167.0,,,44.5,51.6,383.0,,375.5,26.0,,,
El Salvador,Total,2018,2814.3,0.3,144.4,,348.4,,,152.1,173.8,1081.4,,852.7,61.2,,,
El Salvador,Male,2018,1649.3,0.3,58.0,,169.1,,,100.3,110.5,693.0,,486.7,31.4,,,
El Salvador,Female,2018,1164.9,,86.4,,179.4,,,51.8,63.3,388.4,,365.9,29.8,,,
El Salvador,Total,2019,2908.1,,145.6,,325.9,,,154.3,170.5,1148.2,,914.1,49.3,,,
El Salvador,Male,2019,1703.1,,58.3,,155.1,,,102.5,104.3,733.6,,523.6,25.4,,,
El Salvador,Female,2019,1205.0,,87.3,,170.8,,,51.8,66.2,414.6,,390.6,23.8,,,
El Salvador,Total,2020,2736.0,,145.5,,297.1,,,123.7,144.1,1118.7,,842.8,63.6,,,
El Salvador,Male,2020,1606.5,,52.6,,150.1,,,78.9,88.2,724.3,,481.8,30.2,,,
El Salvador,Female,2020,1129.5,,92.9,,147.1,,,44.8,55.9,394.4,,361.1,33.4,,,
El Salvador,Total,2021,2765.2,0.9,119.6,,292.2,,,127.5,141.0,1139.0,,897.0,48.0,,,
El Salvador,Male,2021,1614.2,,43.8,,140.7,,,79.8,84.0,724.2,,516.3,25.0,,,
El Salvador,Female,2021,1151.0,0.5,75.8,,151.4,,,47.8,57.0,414.8,,380.8,22.9,,,
Estonia,Total,2011,603.2,33.1,14.3,,52.8,,,26.0,29.8,399.7,,47.6,,,,
Estonia,Male,2011,302.7,14.1,4.6,,18.3,,,9.0,10.0,216.9,,29.9,,,,
Estonia,Female,2011,300.5,19.0,9.8,,34.5,,,17.0,19.8,182.8,,17.6,,,,
Estonia,Total,2012,614.9,38.7,14.5,,55.1,,,40.7,29.6,388.3,,47.9,,,,
Estonia,Male,2012,309.4,17.5,4.9,,18.6,,,19.2,9.4,209.5,,30.4,,,,
Estonia,Female,2012,305.5,21.2,9.6,,36.5,,,21.5,20.3,178.9,,17.5,,,,
Estonia,Total,2013,621.3,44.7,16.5,,56.1,,,43.3,27.6,384.6,,48.5,,,,
Estonia,Male,2013,314.7,21.4,6.3,,19.9,,,20.3,7.8,209.7,,29.3,,,,
Estonia,Female,2013,306.6,23.3,10.2,,36.3,,,23.0,19.8,174.9,,19.1,,,,
Estonia,Total,2014,624.8,41.4,18.4,,60.1,,,45.3,25.2,389.5,,44.5,0.4,,,
Estonia,Male,2014,320.0,19.8,7.6,,24.0,,,22.0,7.3,211.4,,27.6,0.3,,,
Estonia,Female,2014,304.8,21.6,10.8,,36.1,,,23.3,17.9,178.1,,16.9,,,,
Estonia,Total,2015,640.9,42.7,16.5,,74.2,,,43.1,26.0,393.0,,45.0,0.5,,,
Estonia,Male,2015,327.9,19.6,4.9,,30.8,,,20.1,7.1,217.2,,27.8,0.4,,,
Estonia,Female,2015,312.9,23.0,11.6,,43.3,,,23.0,18.9,175.8,,17.2,,,,
Estonia,Total,2016,644.6,47.0,19.9,,62.9,,,31.3,33.5,397.9,,50.5,1.6,,,
Estonia,Male,2016,329.4,21.6,7.1,,25.2,,,12.7,12.7,217.1,,31.8,1.2,,,
Estonia,Female,2016,315.3,25.4,12.8,,37.7,,,18.6,20.8,180.8,,18.7,0.5,,,
Estonia,Total,2017,658.6,52.1,19.3,,64.1,,,31.8,30.8,407.0,,51.6,1.9,,,
Estonia,Male,2017,337.8,23.7,7.0,,24.6,,,14.7,10.6,223.5,,32.4,1.4,,,
Estonia,Female,2017,320.8,28.4,12.3,,39.5,,,17.2,20.2,183.6,,19.2,0.5,,,
Estonia,Total,2018,664.7,56.5,26.8,,67.0,,,37.7,37.0,382.8,,54.4,2.6,,,
Estonia,Male,2018,342.4,26.6,10.5,,25.4,,,15.8,14.3,214.6,,33.3,2.0,,,
Estonia,Female,2018,322.3,29.9,16.3,,41.6,,,21.9,22.6,168.2,,21.1,0.6,,,
Estonia,Total,2019,671.3,61.2,27.4,,67.5,,,36.3,31.8,393.4,,52.9,0.7,,,
Estonia,Male,2019,346.1,29.3,11.5,,25.6,,,17.0,10.8,218.3,,33.0,0.5,,,
Estonia,Female,2019,325.3,31.9,15.9,,41.9,,,19.3,21.0,175.1,,20.0,0.2,,,
Estonia,Total,2020,656.6,65.5,29.0,,76.5,,,37.4,29.5,376.2,,42.0,0.4,,,
Estonia,Male,2020,337.9,31.5,10.9,,32.8,,,17.0,10.3,209.9,,25.0,0.4,,,
Estonia,Female,2020,318.7,34.0,18.1,,43.7,,,20.5,19.1,166.3,,17.0,,,,
Estonia,Total,2021,654.2,76.3,25.7,,70.1,,,39.4,23.0,371.9,,26.3,21.5,,,
Estonia,Male,2021,331.7,31.4,9.7,,28.0,,,18.0,6.9,206.0,,18.1,13.7,,,
Estonia,Female,2021,322.5,45.0,16.0,,42.2,,,21.4,16.1,165.9,,8.2,7.8,,,
Eswatini,Total,2016,292.0,1.6,21.9,,21.6,,,8.6,11.6,62.2,,74.4,90.1,,,
Eswatini,Male,2016,149.7,0.8,8.0,,9.7,,,4.3,5.7,30.4,,43.7,47.0,,,
Eswatini,Female,2016,142.3,0.8,13.9,,11.9,,,4.2,5.9,31.9,,30.7,43.1,,,
Ethiopia,Total,2013,35498.0,1173.6,5167.9,,9607.3,,,3137.3,3538.9,5699.3,,7173.7,,,,
Ethiopia,Male,2013,19136.5,534.7,1494.6,,4350.0,,,1831.4,2198.7,3791.2,,4935.9,,,,
Ethiopia,Female,2013,16361.5,638.9,3673.3,,5257.3,,,1305.9,1340.2,1908.1,,2237.8,,,,
Falkland Islands (Malvinas),Total,2012,1.1,,0.0,,0.1,,,0.0,0.3,0.3,,0.5,,,,
Falkland Islands (Malvinas),Male,2012,0.7,,0.0,,0.0,,,0.0,0.1,0.2,,0.3,,,,
Falkland Islands (Malvinas),Female,2012,0.5,,0.0,,0.1,,,0.0,0.1,0.1,,0.2,,,,
Falkland Islands (Malvinas),Total,2016,2.1,0.0,0.0,,0.1,,,0.0,0.5,0.8,,0.6,0.0,,,
Falkland Islands (Malvinas),Male,2016,1.2,0.0,0.0,,0.0,,,0.0,0.3,0.5,,0.4,0.0,,,
Falkland Islands (Malvinas),Female,2016,0.9,0.0,0.0,,0.1,,,0.0,0.3,0.3,,0.2,0.0,,,
Finland,Total,2011,2473.7,372.7,120.4,,282.6,,,265.1,571.9,640.3,,213.6,7.1,,,
Finland,Male,2011,1277.8,172.4,51.0,,117.7,,,118.9,228.5,425.1,,160.3,4.0,,,
Finland,Female,2011,1195.8,200.3,69.4,,164.9,,,146.1,343.4,215.2,,53.3,3.2,,,
Finland,Total,2012,2483.2,376.0,126.8,,297.7,,,265.9,570.2,627.0,,212.9,6.7,,,
Finland,Male,2012,1277.1,170.9,52.0,,125.8,,,119.5,228.3,414.3,,162.4,3.7,,,
Finland,Female,2012,1206.1,205.0,74.8,,171.9,,,146.4,341.9,212.7,,50.5,2.9,,,
Finland,Total,2013,2456.7,373.1,137.4,,292.0,,,262.1,577.2,609.4,,199.5,6.0,,,
Finland,Male,2013,1261.3,171.2,56.5,,123.2,,,117.7,231.4,404.3,,153.4,3.5,,,
Finland,Female,2013,1195.4,202.0,80.9,,168.8,,,144.4,345.8,205.1,,46.0,2.5,,,
Finland,Total,2014,2447.2,352.1,140.2,,291.7,,,273.4,579.2,608.1,,194.3,8.3,,,
Finland,Male,2014,1254.0,159.3,60.2,,124.6,,,123.0,237.6,399.5,,144.8,5.1,,,
Finland,Female,2014,1193.3,192.8,80.0,,167.1,,,150.5,341.5,208.7,,49.5,3.2,,,
Finland,Total,2015,2436.8,351.9,141.0,,296.2,,,263.5,574.1,601.3,,199.7,9.0,,,
Finland,Male,2015,1248.7,161.5,61.6,,123.1,,,121.8,230.8,395.7,,149.4,5.0,,,
Finland,Female,2015,1188.1,190.5,79.5,,173.1,,,141.7,343.3,205.7,,50.4,4.0,,,
Finland,Total,2016,2448.1,332.5,146.5,,289.0,,,255.0,583.7,625.0,,206.3,10.1,,,
Finland,Male,2016,1266.5,149.1,64.1,,120.4,,,114.7,245.3,413.2,,154.1,5.7,,,
Finland,Female,2016,1181.6,183.5,82.4,,168.6,,,140.3,338.4,211.8,,52.2,4.4,,,
Finland,Total,2017,2473.2,340.2,147.6,,295.6,,,277.1,571.0,631.4,,199.8,10.5,,,
Finland,Male,2017,1282.2,154.8,63.5,,125.3,,,127.0,245.0,412.6,,148.1,5.9,,,
Finland,Female,2017,1191.0,185.4,84.1,,170.3,,,150.2,326.0,218.8,,51.6,4.5,,,
Finland,Total,2018,2539.9,348.0,162.1,,315.6,,,277.6,572.6,647.5,,206.5,10.2,,,
Finland,Male,2018,1316.7,160.3,71.3,,133.9,,,127.2,245.6,422.3,,150.8,5.4,,,
Finland,Female,2018,1223.2,187.7,90.7,,181.7,,,150.4,327.0,225.2,,55.7,4.8,,,
Finland,Total,2019,2565.6,360.4,174.7,,308.3,,,283.5,581.5,641.1,,206.6,9.4,,,
Finland,Male,2019,1326.6,165.4,74.6,,130.5,,,130.4,252.9,415.2,,153.0,4.7,,,
Finland,Female,2019,1238.9,195.0,100.1,,177.8,,,153.1,328.7,225.9,,53.6,4.7,,,
Finland,Total,2020,2528.2,371.0,157.6,,302.5,,,273.7,599.8,629.9,,184.3,9.3,,,
Finland,Male,2020,1314.2,170.8,72.5,,133.9,,,126.4,263.6,410.3,,132.4,4.3,,,
Finland,Female,2020,1214.0,200.2,85.2,,168.5,,,147.2,336.2,219.6,,51.9,5.0,,,
